text,label
"Congratulations! You have been selected to receive a $1000 Walmart gift card. Click here to claim now!",spam
"Hi John, just wanted to follow up on our meeting yesterday. Let me know if you have questions about the proposal.",ham
"URGENT: Your account has been compromised. Click this link immediately to verify your identity.",spam
"Hey, are we still on for lunch tomorrow? I was thinking that new Italian place on 5th street.",ham
"You have won a FREE iPhone 15! Reply WIN to claim your prize before it expires!",spam
"Please find attached the quarterly report. Let me know if you need any changes before Friday.",ham
"Make money fast! Work from home and earn $5000/week with this simple trick. No experience needed!",spam
"Thanks for the birthday wishes! It was great hearing from you. Hope to catch up soon.",ham
"ALERT: Unusual login detected on your PayPal account. Verify now: http://paypa1-security.fake.com",spam
"The team standup is moved to 10:30 AM tomorrow. Please update your calendars accordingly.",ham
"Lose 30 pounds in 30 days! Buy our miracle diet pills now. Limited time offer - 90% OFF!",spam
"Could you review the pull request I submitted this morning? It fixes the authentication bug we discussed.",ham
"Dear beneficiary, I am a barrister in Lagos. My late client left $15.5M and you are the next of kin.",spam
"Reminder: your dentist appointment is scheduled for Thursday at 2 PM. Reply to confirm.",ham
"Get cheap medications online! No prescription needed. Viagra, Cialis at lowest prices!",spam
"The kids' soccer practice is cancelled today due to rain. Coach will send a makeup schedule later.",ham
"Act now! Pre-approved credit card with 0% APR for 18 months. Bad credit OK! Apply instantly!",spam
"I've updated the shared Google Doc with the new project timeline. Take a look when you get a chance.",ham
"FINAL WARNING: Your computer is infected with 47 viruses! Download our antivirus now to protect your data!",spam
"Happy anniversary! 10 years at the company â€” can you believe it? We should celebrate this Friday.",ham
